"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"SJS","16-17","81","3960.88","3836","3641","195","51.3","58.11","55.15","2784","2544","240","52.25","42.17","38.54","1911","1762","149","52.03","28.95","26.69","150","133","17","53","2.27","2.01","162.81","147.23","15.58","52.51","2.47","2.23","215","234","19","3.26","3.54","7.85","92.45","5.39","94.77","5.85","94.21","-0.46","0.56","100.3","100.06","0.24"
"PIT","16-17","82","3953.63","3810","3788","22","50.14","57.82","57.49","2874","2735","139","51.24","43.62","41.51","2163","2044","119","51.41","32.83","31.02","186","151","35","55.19","2.82","2.29","179.09","162.42","16.67","52.44","2.72","2.46","247","270","23","3.75","4.1","8.6","92.61","6.47","94.48","6.23","94.06","0.24","0.42","101.21","100.29","0.92"
"PHI","16-17","82","3910.53","3754","3594","160","51.09","57.6","55.14","2684","2545","139","51.33","41.18","39.05","1910","1838","72","50.96","29.31","28.2","127","153","-26","45.36","1.95","2.35","142.36","146.17","-3.81","49.34","2.18","2.24","266","292","26","4.08","4.48","6.65","91.68","4.73","93.99","5.3","94.26","-0.57","-0.27","98.32","99.56","-1.24"
"OTT","16-17","82","3920.95","3584","3800","-216","48.54","54.84","58.15","2609","2739","-130","48.78","39.92","41.91","1921","1913","8","50.1","29.4","29.27","135","142","-7","48.74","2.07","2.17","142.19","147.35","-5.16","49.11","2.18","2.25","278","283","5","4.25","4.33","7.03","92.58","5.17","94.82","5.45","94.62","-0.28","0.2","99.6","100.07","-0.47"
"NYR","16-17","82","3994.7","3504","3811","-307","47.9","52.63","57.24","2655","2789","-134","48.77","39.88","41.89","1887","1991","-104","48.66","28.34","29.9","167","153","14","52.19","2.51","2.3","156.96","164.16","-7.2","48.88","2.36","2.47","217","223","6","3.26","3.35","8.85","92.32","6.29","94.51","5.91","94.11","0.38","0.4","101.17","100.03","1.14"
"NYI","16-17","82","4035.57","3694","4042","-348","47.75","54.92","60.1","2715","2942","-227","47.99","40.37","43.74","1996","2079","-83","48.98","29.68","30.91","177","171","6","50.86","2.63","2.54","166.51","172.97","-6.46","49.05","2.48","2.57","231","228","-3","3.43","3.39","8.87","91.77","6.52","94.19","6.13","94.12","0.39","0.07","100.64","100.25","0.39"
"NSH","16-17","82","3935.37","3791","3582","209","51.42","57.8","54.61","2807","2693","114","51.04","42.8","41.06","2029","1919","110","51.39","30.93","29.26","159","141","18","53","2.42","2.15","148.94","139.12","9.83","51.71","2.27","2.12","267","271","4","4.07","4.13","7.84","92.65","5.66","94.76","5.31","94.83","0.36","-0.07","100.49","100.14","0.35"
"NJD","16-17","82","3932.12","3204","3495","-291","47.83","48.89","53.33","2475","2688","-213","47.94","37.77","41.02","1793","1978","-185","47.55","27.36","30.18","114","149","-35","43.35","1.74","2.27","136.38","148.89","-12.51","47.81","2.08","2.27","270","270","--","4.12","4.12","6.36","92.47","4.61","94.46","5.51","94.46","-0.9","--","98.83","99.97","-1.15"
"MON","16-17","82","4024.6","3942","3561","381","52.54","58.77","53.09","2838","2575","263","52.43","42.31","38.39","2041","1911","130","51.64","30.43","28.49","154","129","25","54.42","2.3","1.92","159.74","141.65","18.09","53","2.38","2.11","251","243","-8","3.74","3.62","7.55","93.25","5.43","94.99","5.63","94.5","-0.2","0.49","100.79","100.13","0.67"
"MIN","16-17","82","4056.03","3649","3745","-96","49.35","53.98","55.4","2770","2780","-10","49.91","40.98","41.12","2033","1991","42","50.52","30.07","29.45","186","148","38","55.69","2.75","2.19","155.6","129.39","26.22","54.6","2.3","1.91","220","250","30","3.25","3.7","9.15","92.57","6.71","94.68","5.62","95.35","1.1","-0.67","101.72","100.96","0.75"
"LAK","16-17","82","3974.87","3969","3252","717","54.96","59.91","49.09","2927","2401","526","54.94","44.18","36.24","2028","1675","353","54.77","30.61","25.28","126","133","-7","48.65","1.9","2.01","157.06","132.65","24.41","54.21","2.37","2","254","237","-17","3.83","3.58","6.21","92.06","4.3","94.46","5.37","94.48","-1.06","-0.01","98.27","99.84","-1.57"
"FLA","16-17","82","3899.48","3515","3445","70","50.5","54.08","53.01","2716","2697","19","50.18","41.79","41.5","1982","2039","-57","49.29","30.5","31.37","130","161","-31","44.67","2","2.48","135.3","147.41","-12.11","47.86","2.08","2.27","277","277","--","4.26","4.26","6.56","92.1","4.79","94.03","4.98","94.53","-0.2","-0.5","98.66","99.52","-0.85"
"EDM","16-17","82","3994.57","3642","3656","-14","49.9","54.7","54.91","2724","2628","96","50.9","40.92","39.47","1991","1914","77","50.99","29.91","28.75","165","139","26","54.28","2.48","2.09","166.88","160.38","6.5","50.99","2.51","2.41","243","253","10","3.65","3.8","8.29","92.74","6.06","94.71","6.13","93.9","-0.07","0.81","101.03","100.02","1"
"DET","16-17","82","3975.57","3317","3562","-245","48.22","50.06","53.76","2544","2724","-180","48.29","38.39","41.11","1828","1956","-128","48.31","27.59","29.52","144","162","-18","47.06","2.17","2.44","141.48","153.35","-11.87","47.99","2.14","2.31","239","264","25","3.61","3.98","7.88","91.72","5.66","94.05","5.56","94.37","0.1","-0.32","99.6","99.93","-0.34"
"DAL","16-17","82","3977.23","3850","3838","12","50.08","58.08","57.9","2813","2742","71","50.64","42.44","41.37","1968","1907","61","50.79","29.69","28.77","148","154","-6","49.01","2.23","2.32","162.47","164.89","-2.42","49.63","2.45","2.49","257","266","9","3.88","4.01","7.52","91.92","5.26","94.38","5.78","93.99","-0.51","0.4","99.44","99.76","-0.32"
"COL","16-17","81","3871.32","3362","3586","-224","48.39","52.11","55.58","2475","2747","-272","47.4","38.36","42.57","1768","2043","-275","46.39","27.4","31.66","112","192","-80","36.84","1.74","2.98","119.32","146.19","-26.87","44.94","1.85","2.27","262","229","-33","4.06","3.55","6.33","90.6","4.53","93.01","4.82","94.68","-0.3","-1.67","96.94","99.5","-2.56"
"CHI","16-17","82","4053.47","3759","3692","67","50.45","55.64","54.65","2697","2700","-3","49.97","39.92","39.97","2007","2033","-26","49.68","29.71","30.09","164","136","28","54.67","2.43","2.01","152.05","157.76","-5.71","49.08","2.25","2.34","206","222","16","3.05","3.29","8.17","93.31","6.08","94.96","5.64","94.16","0.44","0.81","101.48","99.79","1.69"
"CAL","16-17","82","3859.65","3461","3386","75","50.55","53.8","52.64","2525","2518","7","50.07","39.25","39.14","1831","1787","44","50.61","28.46","27.78","139","143","-4","49.29","2.16","2.22","136.34","142.54","-6.2","48.89","2.12","2.22","300","286","-14","4.66","4.45","7.59","92","5.5","94.32","5.4","94.34","0.11","-0.02","99.59","99.74","-0.15"
"CBJ","16-17","82","3994.15","3717","3672","45","50.3","55.84","55.16","2772","2724","48","50.44","41.64","40.92","2054","1959","95","51.18","30.86","29.43","168","132","36","56","2.52","1.98","164.41","164.44","-0.03","50","2.47","2.47","240","243","3","3.61","3.65","8.18","93.26","6.06","95.15","5.93","93.96","0.13","1.19","101.44","99.89","1.55"
"CAR","16-17","82","4042.65","3803","3597","206","51.39","56.44","53.39","2779","2724","55","50.5","41.25","40.43","1964","1925","39","50.5","29.15","28.57","146","170","-24","46.2","2.17","2.52","167.24","160.79","6.46","50.98","2.48","2.39","171","209","38","2.54","3.1","7.43","91.17","5.25","93.76","6.02","94.1","-0.76","-0.34","98.6","100.12","-1.51"
"BUF","16-17","82","4031.08","3488","3896","-408","47.24","51.92","57.99","2677","2979","-302","47.33","39.85","44.34","1965","2188","-223","47.32","29.25","32.57","126","155","-29","44.84","1.88","2.31","138.45","152.6","-14.15","47.57","2.06","2.27","243","228","-15","3.62","3.39","6.41","92.92","4.71","94.8","5.17","94.88","-0.46","-0.08","99.33","100.05","-0.72"
"BOS","16-17","82","3869.08","3882","3217","665","54.68","60.2","49.89","2924","2365","559","55.28","45.34","36.68","2084","1692","392","55.19","32.32","26.24","143","147","-4","49.31","2.22","2.28","156.97","127.28","29.7","55.22","2.43","1.97","299","261","-38","4.64","4.05","6.86","91.31","4.89","93.78","5.37","94.62","-0.48","-0.83","98.17","99.99","-1.81"
"ARI","16-17","82","3984.28","3415","4163","-748","45.06","51.43","62.69","2563","3202","-639","44.46","38.6","48.22","1813","2221","-408","44.94","27.3","33.45","132","168","-36","44","1.99","2.53","128.76","178.02","-49.26","41.97","1.94","2.68","253","240","-13","3.81","3.61","7.28","92.44","5.15","94.75","5.02","94.44","0.13","0.31","99.72","99.46","0.25"
"ANA","16-17","82","3869.85","3495","3542","-47","49.67","54.19","54.92","2640","2631","9","50.09","40.93","40.79","1866","1824","42","50.57","28.93","28.28","145","128","17","53.11","2.25","1.98","152.87","140.98","11.89","52.02","2.37","2.19","304","275","-29","4.71","4.26","7.77","92.98","5.49","95.13","5.79","94.64","-0.3","0.49","100.75","100.43","0.32"
"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"WAS","14-15","82","3893.65","3614","3420","194","51.38","55.69","52.7","2608","2451","157","51.55","40.19","37.77","1816","1761","55","50.77","27.98","27.14","146","133","13","52.33","2.25","2.05","140.73","127.74","12.99","52.42","2.17","1.97","300","273","-27","4.62","4.21","8.04","92.45","5.6","94.57","5.4","94.79","0.2","-0.21","100.49","100.18","0.3"
"WPG","14-15","82","3773.4","3501","3165","336","52.52","55.67","50.33","2550","2355","195","51.99","40.55","37.45","1817","1691","126","51.8","28.89","26.89","143","123","20","53.76","2.27","1.96","152.41","133.43","18.98","53.32","2.42","2.12","341","291","-50","5.42","4.63","7.87","92.73","5.61","94.78","5.98","94.33","-0.37","0.44","100.6","100.31","0.29"
"VAN","14-15","82","3893.2","3476","3548","-72","49.49","53.57","54.68","2615","2588","27","50.26","40.3","39.88","1912","1884","28","50.37","29.47","29.04","148","159","-11","48.21","2.28","2.45","139.78","153.5","-13.72","47.66","2.15","2.37","295","269","-26","4.55","4.15","7.74","91.56","5.66","93.86","5.35","94.07","0.31","-0.21","99.3","99.41","-0.11"
"TOR","14-15","82","3855.12","3363","3878","-515","46.44","52.34","60.36","2534","2951","-417","46.2","39.44","45.93","1811","2095","-284","46.36","28.19","32.61","136","171","-35","44.3","2.12","2.66","133.74","169.45","-35.71","44.11","2.08","2.64","265","289","24","4.12","4.5","7.51","91.84","5.37","94.21","5.28","94.26","0.09","-0.05","99.35","99.54","-0.19"
"TBL","14-15","82","3833.55","3576","3167","409","53.03","55.97","49.57","2663","2347","316","53.15","41.68","36.73","1950","1671","279","53.85","30.52","26.15","176","135","41","56.59","2.75","2.11","143.38","119.1","24.27","54.62","2.24","1.86","259","284","25","4.05","4.44","9.03","91.92","6.61","94.25","5.38","94.93","1.23","-0.68","100.95","100.31","0.64"
"STL","14-15","82","3938.2","3603","3360","243","51.74","54.89","51.19","2747","2431","316","53.05","41.85","37.04","1967","1742","225","53.03","29.97","26.54","161","134","27","54.58","2.45","2.04","145","128.09","16.91","53.1","2.21","1.95","292","281","-11","4.45","4.28","8.19","92.31","5.86","94.49","5.28","94.73","0.58","-0.24","100.49","100.01","0.48"
"SJS","14-15","82","3968.1","3934","3706","228","51.49","59.48","56.04","2818","2684","134","51.22","42.61","40.58","1958","1905","53","50.69","29.61","28.8","138","155","-17","47.1","2.09","2.34","157.83","149.68","8.15","51.33","2.39","2.26","235","255","20","3.55","3.86","7.05","91.86","4.9","94.23","5.6","94.42","-0.7","-0.2","98.91","100.02","-1.11"
"PIT","14-15","82","3861.28","3595","3216","379","52.78","55.86","49.97","2662","2379","283","52.81","41.36","36.97","1953","1760","193","52.6","30.35","27.35","145","131","14","52.54","2.25","2.04","142.52","132.44","10.08","51.83","2.21","2.06","347","309","-38","5.39","4.8","7.42","92.56","5.45","94.49","5.35","94.43","0.09","0.06","99.98","99.79","0.19"
"PHI","14-15","82","3930.85","3515","3614","-99","49.31","53.65","55.16","2533","2649","-116","48.88","38.66","40.43","1806","1915","-109","48.54","27.57","29.23","132","135","-3","49.44","2.01","2.06","128.96","145.16","-16.2","47.04","1.97","2.22","277","238","-39","4.23","3.63","7.31","92.95","5.21","94.9","5.09","94.52","0.12","0.38","100.26","99.61","0.65"
"OTT","14-15","82","3866.18","3585","3551","34","50.24","55.64","55.11","2587","2734","-147","48.62","40.15","42.43","1886","2037","-151","48.08","29.27","31.61","151","143","8","51.36","2.34","2.22","147.55","140.97","6.58","51.14","2.29","2.19","274","280","6","4.25","4.35","8.01","92.98","5.84","94.77","5.7","94.84","0.13","-0.07","100.99","100.55","0.44"
"NYR","14-15","82","4009.65","3640","3715","-75","49.49","54.47","55.59","2731","2794","-63","49.43","40.87","41.81","2027","1981","46","50.57","30.33","29.64","179","137","42","56.65","2.68","2.05","166.76","166.99","-0.23","49.97","2.5","2.5","230","225","-5","3.44","3.37","8.83","93.08","6.55","95.1","6.11","94.02","0.45","1.07","101.92","100.13","1.79"
"NYI","14-15","82","3962.6","4049","3629","420","52.74","61.31","54.95","2981","2533","448","54.06","45.14","38.35","2143","1829","314","53.95","32.45","27.69","167","156","11","51.7","2.53","2.36","194.9","156.86","38.04","55.41","2.95","2.38","217","267","50","3.29","4.04","7.79","91.47","5.6","93.84","6.54","93.81","-0.94","0.03","99.26","100.35","-1.08"
"NSH","14-15","82","3933.02","3830","3435","395","52.72","58.43","52.4","2824","2514","310","52.9","43.08","38.35","2042","1812","230","52.98","31.15","27.64","165","125","40","56.9","2.52","1.91","148.19","122.54","25.65","54.74","2.26","1.87","234","249","15","3.57","3.8","8.08","93.1","5.84","95.03","5.25","95.13","0.6","-0.1","101.18","100.37","0.81"
"NJD","14-15","82","3944.63","2969","3323","-354","47.19","45.16","50.54","2218","2541","-323","46.61","33.74","38.65","1597","1896","-299","45.72","24.29","28.84","115","125","-10","47.92","1.75","1.9","122.06","137.7","-15.64","46.99","1.86","2.09","255","221","-34","3.88","3.36","7.2","93.41","5.18","95.08","5.5","94.58","-0.32","0.5","100.61","100.08","0.52"
"MON","14-15","82","3932.83","3545","3762","-217","48.52","54.08","57.39","2531","2649","-118","48.86","38.61","40.41","1829","1915","-86","48.85","27.9","29.22","146","121","25","54.68","2.23","1.85","137.4","143.59","-6.19","48.9","2.1","2.19","263","247","-16","4.01","3.77","7.98","93.68","5.77","95.43","5.43","94.58","0.34","0.85","101.66","100.01","1.66"
"MIN","14-15","82","3911.92","3581","3433","148","51.06","54.92","52.65","2694","2472","222","52.15","41.32","37.91","1940","1766","174","52.35","29.76","27.09","166","144","22","53.55","2.55","2.21","146.62","118.94","27.68","55.21","2.25","1.82","230","249","19","3.53","3.82","8.56","91.85","6.16","94.17","5.44","95.19","0.72","-1.01","100.4","100.63","-0.23"
"LAK","14-15","82","3961","3907","3149","758","55.37","59.18","47.7","2911","2412","499","54.69","44.09","36.54","2032","1697","335","54.49","30.78","25.71","154","126","28","55","2.33","1.91","153.68","127.6","26.08","54.64","2.33","1.93","250","250","--","3.79","3.79","7.58","92.58","5.29","94.78","5.28","94.71","0.01","0.07","100.15","99.99","0.16"
"FLA","14-15","82","3930.18","3525","3349","176","51.28","53.81","51.13","2680","2576","104","50.99","40.91","39.33","1980","1850","130","51.7","30.23","28.24","144","141","3","50.53","2.2","2.15","137.29","128.2","9.09","51.71","2.1","1.96","254","263","9","3.88","4.02","7.27","92.38","5.37","94.53","5.12","95.02","0.25","-0.5","99.65","100.15","-0.49"
"EDM","14-15","82","4066.45","3569","3854","-285","48.08","52.66","56.87","2591","2850","-259","47.62","38.23","42.05","1848","2009","-161","47.91","27.27","29.64","133","198","-65","40.18","1.96","2.92","139.6","169.44","-29.85","45.17","2.06","2.5","234","235","1","3.45","3.47","7.2","90.14","5.13","93.05","5.39","94.05","-0.25","-1","97.34","99.44","-2.1"
"DET","14-15","82","3826.07","3361","2924","437","53.48","52.71","45.85","2481","2289","192","52.01","38.91","35.9","1801","1704","97","51.38","28.24","26.72","132","126","6","51.16","2.07","1.98","134.63","126.06","8.57","51.64","2.11","1.98","256","276","20","4.01","4.33","7.33","92.61","5.32","94.5","5.43","94.49","-0.11","--","99.93","99.92","0.02"
"DAL","14-15","82","3863.02","3966","3645","321","52.11","61.6","56.61","2916","2662","254","52.28","45.29","41.35","1985","1882","103","51.33","30.83","29.23","175","171","4","50.58","2.72","2.66","165.15","153.06","12.09","51.9","2.57","2.38","256","302","46","3.98","4.69","8.82","90.91","6","93.58","5.66","94.25","0.34","-0.67","99.73","99.91","-0.18"
"COL","14-15","82","3903.85","3078","4039","-961","43.25","47.31","62.08","2302","2925","-623","44.04","35.38","44.96","1737","2086","-349","45.44","26.7","32.06","152","156","-4","49.35","2.34","2.4","123.07","161.29","-38.22","43.28","1.89","2.48","247","246","-1","3.8","3.78","8.75","92.52","6.6","94.67","5.35","94.49","1.26","0.18","101.27","99.83","1.44"
"CHI","14-15","82","3980.1","4003","3462","541","53.62","60.35","52.19","2902","2610","292","52.65","43.75","39.35","2184","1981","203","52.44","32.92","29.86","150","128","22","53.96","2.26","1.93","155.07","152.05","3.03","50.49","2.34","2.29","225","248","23","3.39","3.74","6.87","93.54","5.17","95.1","5.34","94.17","-0.17","0.92","100.41","99.52","0.89"
"CAL","14-15","82","3981.8","3322","4149","-827","44.47","50.06","62.52","2377","2817","-440","45.76","35.82","42.45","1690","1962","-272","46.28","25.47","29.56","150","154","-4","49.34","2.26","2.32","131.88","153.56","-21.68","46.2","1.99","2.31","210","250","40","3.16","3.77","8.88","92.15","6.31","94.53","5.55","94.55","0.76","-0.02","101.03","100.1","0.93"
"CBJ","14-15","82","3869.97","3234","3601","-367","47.32","50.14","55.83","2456","2763","-307","47.06","38.08","42.84","1819","2043","-224","47.1","28.2","31.67","145","166","-21","46.62","2.25","2.57","133.26","149.06","-15.8","47.2","2.07","2.31","318","277","-41","4.93","4.29","7.97","91.87","5.9","93.99","5.43","94.61","0.48","-0.61","99.85","100.03","-0.18"
"CAR","14-15","82","4001.27","3779","3439","340","52.36","56.67","51.57","2818","2570","248","52.3","42.26","38.54","2016","1785","231","53.04","30.23","26.77","125","161","-36","43.71","1.87","2.41","156.06","149.05","7.01","51.15","2.34","2.24","179","232","53","2.68","3.48","6.2","90.98","4.44","93.74","5.54","94.2","-1.1","-0.47","97.18","99.74","-2.56"
"BUF","14-15","82","3978.82","2647","4413","-1766","37.49","39.92","66.55","2038","3221","-1183","38.75","30.73","48.57","1527","2294","-767","39.96","23.03","34.59","109","174","-65","38.52","1.64","2.62","112.37","168.39","-56.02","40.02","1.69","2.54","259","247","-12","3.91","3.72","7.14","92.41","5.35","94.6","5.51","94.77","-0.17","-0.17","99.55","100.29","-0.73"
"BOS","14-15","82","4014.32","3729","3486","243","51.68","55.74","52.1","2726","2660","66","50.61","40.74","39.76","1966","1940","26","50.33","29.38","29","140","137","3","50.54","2.09","2.05","136","130.4","5.6","51.05","2.03","1.95","255","231","-24","3.81","3.45","7.12","92.94","5.14","94.85","4.99","95.1","0.15","-0.25","100.06","100.09","-0.03"
"ARI","14-15","82","3947.18","3612","3812","-200","48.65","54.9","57.95","2628","2853","-225","47.95","39.95","43.37","1853","2040","-187","47.6","28.17","31.01","106","173","-67","37.99","1.61","2.63","132.22","155.95","-23.73","45.88","2.01","2.37","260","245","-15","3.95","3.72","5.72","91.52","4.03","93.94","5.03","94.53","-1","-0.6","97.24","99.57","-2.33"
"ANA","14-15","82","3902.03","3610","3474","136","50.96","55.51","53.42","2731","2573","158","51.49","41.99","39.56","1863","1822","41","50.56","28.65","28.02","158","149","9","51.47","2.43","2.29","149.09","136.89","12.2","52.13","2.29","2.1","263","251","-12","4.04","3.86","8.48","91.82","5.79","94.21","5.46","94.68","0.33","-0.47","100.3","100.14","0.16"
"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"WAS","12-13","48","2289.75","2043","2150","-107","48.72","53.53","56.34","1479","1563","-84","48.62","38.76","40.96","1058","1180","-122","47.27","27.72","30.92","91","85","6","51.7","2.38","2.23","82.09","85.74","-3.65","48.91","2.15","2.25","167","174","7","4.38","4.56","8.6","92.8","6.15","94.56","5.55","94.51","0.6","0.05","101.4","100.06","1.33"
"WPG","12-13","48","2354.72","2195","2241","-46","49.48","55.93","57.1","1597","1644","-47","49.27","40.69","41.89","1096","1159","-63","48.6","27.93","29.53","91","102","-11","47.15","2.32","2.6","88.52","93.53","-5.02","48.62","2.26","2.38","157","149","-8","4","3.8","8.3","91.2","5.7","93.8","5.54","94.31","0.16","-0.51","99.5","99.85","-0.35"
"VAN","12-13","48","2257.72","1993","1880","113","51.46","52.97","49.96","1457","1438","19","50.33","38.72","38.22","1033","1072","-39","49.07","27.45","28.49","83","80","3","50.92","2.21","2.13","81.76","79.96","1.8","50.56","2.17","2.13","167","186","19","4.44","4.94","8.03","92.54","5.7","94.44","5.61","94.44","0.09","--","100.57","100.05","0.52"
"TOR","12-13","48","2273.28","1929","2445","-516","44.1","50.91","64.53","1397","1779","-382","43.99","36.87","46.95","976","1248","-272","43.88","25.76","32.94","104","95","9","52.26","2.74","2.51","74.71","95.14","-20.43","43.98","1.97","2.51","205","198","-7","5.41","5.23","10.66","92.39","7.44","94.66","5.35","94.65","2.1","0.01","103.04","100","3.04"
"TBL","12-13","48","2281.17","1921","2150","-229","47.19","50.53","56.55","1451","1624","-173","47.19","38.16","42.71","1051","1143","-92","47.9","27.64","30.06","102","98","4","51","2.68","2.58","77.25","81.46","-4.2","48.68","2.03","2.14","178","187","9","4.68","4.92","9.71","91.43","7.03","93.97","5.32","94.98","1.71","-1.02","101.13","100.31","0.82"
"STL","12-13","48","2269.53","1949","1784","165","52.21","51.53","47.16","1455","1267","188","53.45","38.47","33.5","1042","894","148","53.82","27.55","23.63","82","76","6","51.9","2.17","2.01","72.96","71.14","1.82","50.63","1.93","1.88","167","178","11","4.42","4.71","7.87","91.5","5.64","94","5.01","94.38","0.62","-0.38","99.37","99.4","-0.03"
"SJS","12-13","48","2306.82","2258","2144","114","51.29","58.73","55.77","1646","1520","126","51.99","42.81","39.54","1153","1071","82","51.84","29.99","27.86","77","76","1","50.33","2","1.98","92.48","77.7","14.78","54.34","2.41","2.02","140","166","26","3.64","4.32","6.68","92.9","4.68","95","5.62","94.89","-0.94","0.11","99.58","100.51","-0.92"
"PIT","12-13","48","2263.18","2040","2119","-79","49.05","54.08","56.18","1528","1532","-4","49.93","40.51","40.62","1109","1106","3","50.07","29.4","29.32","107","74","33","59.12","2.84","1.96","85.39","78.1","7.29","52.23","2.26","2.07","186","180","-6","4.93","4.77","9.65","93.31","7","95.17","5.59","94.9","1.41","0.27","102.96","100.49","2.47"
"PHI","12-13","48","2201.87","1943","2140","-197","47.59","52.95","58.31","1417","1547","-130","47.81","38.61","42.16","1024","1060","-36","49.14","27.9","28.88","81","96","-15","45.76","2.21","2.62","78.33","84.68","-6.35","48.05","2.13","2.31","215","219","4","5.86","5.97","7.91","90.94","5.72","93.79","5.53","94.53","0.19","-0.73","98.85","100.05","-1.2"
"OTT","12-13","48","2244","2305","1994","311","53.62","61.63","53.32","1683","1509","174","52.73","45","40.35","1215","1112","103","52.21","32.49","29.73","73","73","--","50","1.95","1.95","88.01","77.08","10.93","53.31","2.35","2.06","189","181","-8","5.05","4.84","6.01","93.44","4.34","95.16","5.23","94.89","-0.89","0.27","99.44","100.12","-0.68"
"NYR","12-13","48","2328.9","2253","2081","172","51.98","58.04","53.61","1674","1456","218","53.48","43.13","37.51","1214","1033","181","54.03","31.28","26.61","90","67","23","57.32","2.32","1.73","101.48","86.5","14.98","53.98","2.61","2.23","148","157","9","3.81","4.04","7.41","93.51","5.38","95.4","6.06","94.06","-0.69","1.34","100.93","100.12","0.81"
"NYI","12-13","48","2350.28","2171","2174","-3","49.97","55.42","55.5","1590","1539","51","50.81","40.59","39.29","1172","1059","113","52.53","29.92","27.04","94","96","-2","49.47","2.4","2.45","97.93","91.03","6.9","51.83","2.5","2.32","151","162","11","3.85","4.14","8.02","90.93","5.91","93.76","6.16","94.09","-0.25","-0.32","98.96","100.24","-1.29"
"NSH","12-13","48","2331.32","1800","2053","-253","46.72","46.33","52.84","1344","1491","-147","47.41","34.59","38.37","979","1056","-77","48.11","25.2","27.18","75","85","-10","46.88","1.93","2.19","77.45","75.33","2.12","50.69","1.99","1.94","148","158","10","3.81","4.07","7.66","91.95","5.58","94.3","5.76","94.95","-0.18","-0.65","99.61","100.71","-1.1"
"NJD","12-13","48","2251.2","1897","1498","399","55.88","50.56","39.93","1417","1129","288","55.66","37.77","30.09","997","842","155","54.21","26.57","22.44","64","74","-10","46.38","1.71","1.97","76.63","63.08","13.55","54.85","2.04","1.68","177","176","-1","4.72","4.69","6.42","91.21","4.52","93.45","5.41","94.41","-0.89","-0.97","97.63","99.82","-2.19"
"MON","12-13","48","2187","2114","1886","228","52.85","58","51.74","1534","1332","202","53.52","42.09","36.54","1091","970","121","52.94","29.93","26.61","97","77","20","55.75","2.66","2.11","83.76","67.05","16.71","55.54","2.3","1.84","189","203","14","5.19","5.57","8.89","92.06","6.32","94.22","5.46","94.97","0.86","-0.75","100.95","100.43","0.53"
"MIN","12-13","48","2269.37","1883","1925","-42","49.45","49.78","50.9","1400","1437","-37","49.35","37.01","37.99","1025","1026","-1","49.98","27.1","27.13","79","89","-10","47.02","2.09","2.35","77.13","70.93","6.2","52.09","2.04","1.88","164","153","-11","4.34","4.05","7.71","91.33","5.64","93.81","5.51","95.06","0.13","-1.26","99.03","100.57","-1.54"
"LAK","12-13","48","2282.42","2175","1686","489","56.33","57.18","44.32","1639","1306","333","55.65","43.09","34.33","1133","928","205","54.97","29.78","24.4","86","79","7","52.12","2.26","2.08","85.09","69.74","15.36","54.96","2.24","1.83","163","156","-7","4.28","4.1","7.59","91.49","5.25","93.95","5.19","94.66","0.06","-0.71","99.08","99.85","-0.77"
"FLA","12-13","48","2338.17","2048","2121","-73","49.12","52.55","54.43","1528","1628","-100","48.42","39.21","41.78","1112","1201","-89","48.08","28.54","30.82","66","116","-50","36.26","1.69","2.98","75.78","90.81","-15.03","45.49","1.94","2.33","157","158","1","4.03","4.05","5.94","90.34","4.32","92.87","4.96","94.42","-0.64","-1.55","96.28","99.38","-3.11"
"EDM","12-13","48","2244.12","1818","2259","-441","44.59","48.61","60.4","1380","1678","-298","45.13","36.9","44.86","991","1203","-212","45.17","26.5","32.16","80","90","-10","47.06","2.14","2.41","77.17","98.36","-21.19","43.96","2.06","2.63","162","169","7","4.33","4.52","8.07","92.52","5.8","94.64","5.59","94.14","0.21","0.5","100.59","99.73","0.86"
