"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"COL","17-18","82","3827.1","3487","3844","-357","47.57","54.67","60.26","2528","2850","-322","47.01","39.63","44.68","1839","2057","-218","47.2","28.83","32.25","151","139","12","52.07","2.37","2.18","126","146.22","-20.22","46.29","1.98","2.29","263","283","20","4.12","4.44","8.21","93.24","5.97","95.12","4.98","94.87","0.99","0.25","101.45","99.85","1.6"
"CHI","17-18","82","3940.42","4199","3821","378","52.36","63.94","58.18","2948","2831","117","51.01","44.89","43.11","2203","2114","89","51.03","33.54","32.19","156","173","-17","47.42","2.38","2.63","163.84","166.52","-2.69","49.59","2.49","2.54","214","261","47","3.26","3.97","7.08","91.82","5.29","93.89","5.56","94.12","-0.27","-0.23","98.9","99.68","-0.78"
"CAL","17-18","82","3878.92","4156","3619","537","53.45","64.29","55.98","3109","2727","382","53.27","48.09","42.18","2136","1930","206","52.53","33.04","29.85","145","156","-11","48.17","2.24","2.41","168.73","151.93","16.8","52.62","2.61","2.35","275","275","--","4.25","4.25","6.79","91.92","4.66","94.28","5.43","94.43","-0.76","-0.15","98.71","99.86","-1.15"
"CBJ","17-18","82","4047.52","4036","3793","243","51.55","59.83","56.23","3093","2781","312","52.66","45.85","41.23","2259","2055","204","52.36","33.49","30.46","168","147","21","53.33","2.49","2.18","182.4","168.76","13.64","51.94","2.7","2.5","198","215","17","2.94","3.19","7.44","92.85","5.43","94.71","5.9","93.93","-0.47","0.78","100.28","99.83","0.45"
"CAR","17-18","82","4086.27","4257","3558","699","54.47","62.51","52.24","3111","2735","376","53.22","45.68","40.16","2203","1961","242","52.91","32.35","28.79","155","177","-22","46.69","2.28","2.6","176.38","155.64","20.74","53.12","2.59","2.29","186","214","28","2.73","3.14","7.04","90.97","4.98","93.53","5.67","94.31","-0.69","-0.78","98.01","99.98","-1.97"
"BUF","17-18","82","3936.73","3369","3712","-343","47.58","51.35","56.57","2593","2861","-268","47.54","39.52","43.6","1933","2091","-158","48.04","29.46","31.87","119","175","-56","40.48","1.81","2.67","126.83","154.68","-27.85","45.05","1.93","2.36","212","235","23","3.23","3.58","6.16","91.63","4.59","93.88","4.89","94.59","-0.3","-0.71","97.79","99.48","-1.7"
"BOS","17-18","82","3932.75","3903","3351","552","53.8","59.55","51.12","2941","2515","426","53.9","44.87","38.37","2097","1789","308","53.96","31.99","27.29","164","137","27","54.49","2.5","2.09","157.55","137.02","20.53","53.48","2.4","2.09","255","263","8","3.89","4.01","7.82","92.34","5.58","94.55","5.36","94.55","0.22","--","100.16","99.91","0.25"
"ARI","17-18","82","4000.97","3742","4054","-312","48","56.12","60.8","2709","3072","-363","46.86","40.63","46.07","1896","2090","-194","47.57","28.43","31.34","138","164","-26","45.7","2.07","2.46","141.55","164.97","-23.42","46.18","2.12","2.47","213","223","10","3.19","3.34","7.28","92.15","5.09","94.66","5.23","94.63","-0.13","0.03","99.43","99.86","-0.42"
"ANA","17-18","82","3925.6","3653","3860","-207","48.62","55.83","59","2747","2906","-159","48.59","41.99","44.42","1936","2030","-94","48.81","29.59","31.03","158","135","23","53.92","2.41","2.06","153.84","163.93","-10.09","48.41","2.35","2.51","271","223","-48","4.14","3.41","8.16","93.35","5.75","95.35","5.6","94.36","0.15","1","101.51","99.96","1.55"
"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"WAS","16-17","82","3907.75","3653","3401","252","51.79","56.09","52.22","2693","2543","150","51.43","41.35","39.05","1939","1786","153","52.05","29.77","27.42","178","112","66","61.38","2.73","1.72","148.85","140.58","8.27","51.43","2.29","2.16","278","238","-40","4.27","3.65","9.18","93.73","6.61","95.6","5.53","94.47","1.08","1.12","102.91","100","2.91"
"WPG","16-17","82","3878.02","3382","3486","-104","49.24","52.33","53.93","2538","2605","-67","49.35","39.27","40.3","1844","1942","-98","48.71","28.53","30.05","157","164","-7","48.91","2.43","2.54","147.78","144","3.77","50.65","2.29","2.23","252","262","10","3.9","4.05","8.51","91.56","6.19","93.7","5.82","94.47","0.36","-0.77","100.07","100.29","-0.23"
"VAN","16-17","82","4046.87","3401","3691","-290","47.96","50.42","54.72","2489","2831","-342","46.79","36.9","41.97","1826","2085","-259","46.69","27.07","30.91","128","158","-30","44.76","1.9","2.34","135.26","160.66","-25.4","45.71","2.01","2.38","221","227","6","3.28","3.37","7.01","92.42","5.14","94.42","5.43","94.32","-0.29","0.09","99.43","99.76","-0.33"
"TOR","16-17","82","3967.97","3936","3876","60","50.38","59.52","58.61","2938","2969","-31","49.74","44.43","44.89","2025","2090","-65","49.21","30.62","31.6","168","162","6","50.91","2.54","2.45","177.14","171.04","6.1","50.88","2.68","2.59","267","248","-19","4.04","3.75","8.3","92.25","5.72","94.54","6.03","94.24","-0.31","0.3","100.55","100.27","0.28"
"TBL","16-17","82","3906.7","3597","3419","178","51.27","55.24","52.51","2695","2628","67","50.63","41.39","40.36","1897","1908","-11","49.86","29.13","29.3","140","145","-5","49.12","2.15","2.23","138.22","135.6","2.62","50.48","2.12","2.08","283","293","10","4.35","4.5","7.38","92.4","5.19","94.48","5.13","94.84","0.07","-0.36","99.78","99.97","-0.19"
"STL","16-17","82","3942.63","3413","3389","24","50.18","51.94","51.57","2541","2493","48","50.48","38.67","37.94","1834","1798","36","50.5","27.91","27.36","154","137","17","52.92","2.34","2.08","132.77","129.72","3.05","50.58","2.02","1.97","253","242","-11","3.85","3.68","8.4","92.38","6.06","94.5","5.23","94.8","0.84","-0.29","100.78","100.02","0.76"
